None	1010	1030	1160	1080	SO	3
Few	1160	1030	1310	1080	SO	3
Many	1310	1030	1480	1080	SO	3
Caries risk	110	1080	1135	1130	SS	2
Low	560	1080	725	1130	SO	3
Moderate	725	1080	970	1130	SO	3
High	970	1080	1135	1130	SO	3
Teeth	110	1160	2360	2330	FL	1
1	430	1170	565	1720	ST	2
Pulp status	430	1170	565	1235	C	3
Mobility	430	1235	565	1300	C	3
Restorative	430	1300	565	1395	C	3
Distal	430	1395	565	1520	G	3
Occlusal	430	1520	565	1595	G	3
Mesial	430	1595	565	1720	G	3
2	565	1170	715	1720	ST	2
Pulp status	565	1170	715	1235	C	3
Mobility	565	1235	715	1300	C	3
Restorative	565	1300	715	1395	C	3
Distal	565	1395	715	1520	G	3
Occlusal	565	1520	715	1595	G	3
Mesial	565	1595	715	1720	G	3
3	715	1170	875	1720	ST	2
Pulp status	715	1170	875	1235	C	3
Mobility	715	1235	875	1300	C	3
Restorative	715	1300	875	1395	C	3
Distal	715	1395	875	1520	G	3
Occlusal	715	1520	875	1595	G	3
Mesial	715	1595	875	1720	G	3
4	875	1170	1010	1720	ST	2
Pulp status	875	1170	1010	1235	C	3
Mobility	875	1235	1010	1300	C	3
Restorative	875	1300	1010	1395	C	3
Distal	875	1395	1010	1520	G	3
Occlusal	875	1520	1010	1595	G	3
Mesial	875	1595	1010	1720	G	3
5	1010	1170	1135	1720	ST	2
Pulp status	1010	1170	1135	1235	C	3
Mobility	1010	1235	1135	1300	C	3
Restorative	1010	1300	1135	1395	C	3
Distal	1010	1395	1135	1520	G	3
Occlusal	1010	1520	1135	1595	G	3
Mesial	1010	1595	1135	1720	G	3
6	1135	1170	1235	1720	ST	2
Pulp status	1135	1170	1235	1235	C	3
Mobility	1135	1235	1235	1300	C	3
Restorative	1135	1300	1235	1395	C	3
Distal	1135	1395	1235	1527	G	3
Mesial	1135	1527	1235	1720	G	3
7	1235	1170	1310	1720	ST	2
Pulp status	1235	1170	1310	1235	C	3
Mobility	1235	1235	1310	1300	C	3
Restorative	1235	1300	1310	1395	C	3
Distal	1235	1395	1310	1527	G	3
Mesial	1235	1527	1310	1720	G	3
8	1310	1170	1390	1720	ST	2
Pulp status	1310	1170	1390	1235	C	3
Mobility	1310	1235	1390	1300	C	3
Restorative	1310	1300	1390	1395	C	3
Distal	1310	1395	1390	1527	G	3
Mesial	1310	1527	1390	1720	G	3
9	1390	1170	1470	1720	ST	2
Pulp status	1390	1170	1470	1235	C	3
Mobility	1390	1235	1470	1300	C	3
Restorative	1390	1300	1470	1395	C	3
Distal	1390	1395	1470	1527	G	3
Mesial	1390	1527	1470	1720	G	3
10	1470	1170	1540	1720	ST	2
Pulp status	1470	1170	1540	1235	C	3
Mobility	1470	1235	1540	1300	C	3
Restorative	1470	1300	1540	1395	C	3
Distal	1470	1395	1540	1527	G	3
Mesial	1470	1527	1540	1720	G	3
11	1540	1170	1645	1720	ST	2
Pulp status	1540	1170	1645	1235	C	3
Mobility	1540	1235	1645	1300	C	3
Restorative	1540	1300	1645	1395	C	3
Distal	1540	1395	1645	1527	G	3
Mesial	1540	1527	1645	1720	G	3
12	1645	1170	1770	1720	ST	2
Pulp status	1645	1170	1770	1235	C	3
Mobility	1645	1235	1770	1300	C	3
Restorative	1645	1300	1770	1395	C	3
Distal	1645	1395	1770	1520	G	3
Occlusal	1645	1520	1770	1595	G	3
Mesial	1645	1595	1770	1720	G	3
13	1770	1170	1905	1720	ST	2
Pulp status	1770	1170	1905	1235	C	3
Mobility	1770	1235	1905	1300	C	3
Restorative	1770	1300	1905	1395	C	3
Distal	1770	1395	1905	1520	G	3
Occlusal	1770	1520	1905	1595	G	3
Mesial	1770	1595	1905	1720	G	3
14	1905	1170	2065	1720	ST	2
Pulp status	1905	1170	2065	1235	C	3
Mobility	1905	1235	2065	1300	C	3
Restorative	1905	1300	2065	1395	C	3
Distal	1905	1395	2065	1520	G	3
Occlusal	1905	1520	2065	1595	G	3
Mesial	1905	1595	2065	1720	G	3
15	2065	1170	2220	1720	ST	2
Pulp status	2065	1170	2220	1235	C	3
Mobility	2065	1235	2220	1300	C	3
Restorative	2065	1300	2220	1395	C	3
Distal	2065	1395	2220	1520	G	3
Occlusal	2065	1520	2220	1595	G	3
Mesial	2065	1595	2220	1720	G	3
16	2220	1170	2360	1720	ST	2
Pulp status	2220	1170	2360	1235	C	3
Mobility	2220	1235	2360	1300	C	3
Restorative	2220	1300	2360	1395	C	3
Distal	2220	1395	2360	1520	G	3
Occlusal	2220	1520	2360	1595	G	3
Mesial	2220	1595	2360	1720	G	3
17	2220	1720	2360	2270	ST	2
Pulp status	2220	2205	2360	2270	C	3
Mobility	2220	2140	2360	2205	C	3
Restorative	2220	2045	2360	2140	C	3
Distal	2220	1920	2360	2045	G	3
Occlusal	2220	1845	2360	1920	G	3
Mesial	2220	1720	2360	1845	G	3
18	2065	1720	2220	2270	ST	2
Pulp status	2065	2205	2220	2270	C	3
Mobility	2065	2140	2220	2205	C	3
Restorative	2065	2045	2220	2140	C	3
Distal	2065	1920	2220	2045	G	3
Occlusal	2065	1845	2220	1920	G	3
Mesial	2065	1720	2220	1845	G	3
19	1905	1720	2065	2270	ST	2
Pulp status	1905	2205	2065	2270	C	3
Mobility	1905	2140	2065	2205	C	3
Restorative	1905	2045	2065	2140	C	3
Distal	1905	1920	2065	2045	G	3
Occlusal	1905	1845	2065	1920	G	3
Mesial	1905	1720	2065	1845	G	3
20	1770	1720	1905	2270	ST	2
Pulp status	1770	2205	1905	2270	C	3
Mobility	1770	2140	1905	2205	C	3
Restorative	1770	2045	1905	2140	C	3
Distal	1770	1920	1905	2045	G	3
Occlusal	1770	1845	1905	1920	G	3
Mesial	1770	1720	1905	1845	G	3
21	1645	1720	1770	2270	ST	2
Pulp status	1645	2205	1770	2270	C	3
Mobility	1645	2140	1770	2205	C	3
Restorative	1645	2045	1770	2140	C	3
Distal	1645	1920	1770	2045	G	3
Occlusal	1645	1845	1770	1920	G	3
Mesial	1645	1720	1770	1845	G	3
22	1540	1720	1645	2270	ST	2
Pulp status	1540	2205	1645	2270	C	3
Mobility	1540	2140	1645	2205	C	3
Restorative	1540	2045	1645	2140	C	3
Distal	1540	1913	1645	2045	G	3
Mesial	1540	1720	1645	1913	G	3
23	1470	1720	1540	2270	ST	2
Pulp status	1470	2205	1540	2270	C	3
Mobility	1470	2140	1540	2205	C	3
Restorative	1470	2045	1540	2140	C	3
Distal	1470	1913	1540	2045	G	3
Mesial	1470	1720	1540	1913	G	3
24	1390	1720	1470	2270	ST	2
Pulp status	1390	2205	1470	2270	C	3
Mobility	1390	2140	1470	2205	C	3
Restorative	1390	2045	1470	2140	C	3
Distal	1390	1913	1470	2045	G	3
Mesial	1390	1720	1470	1913	G	3
25	1310	1720	1390	2270	ST	2
Pulp status	1310	2205	1390	2270	C	3
Mobility	1310	2140	1390	2205	C	3
Restorative	1310	2045	1390	2140	C	3
Distal	1310	1913	1390	2045	G	3
Mesial	1310	1720	1390	1913	G	3
26	1235	1720	1310	2270	ST	2
Pulp status	1235	2205	1310	2270	C	3
Mobility	1235	2140	1310	2205	C	3
Restorative	1235	2045	1310	2140	C	3
Distal	1235	1913	1310	2045	G	3
Mesial	1235	1720	1310	1913	G	3
27	1135	1720	1235	2270	ST	2
Pulp status	1135	2205	1235	2270	C	3
Mobility	1135	2140	1235	2205	C	3
Restorative	1135	2045	1235	2140	C	3
Distal	1135	1913	1235	2045	G	3
Mesial	1135	1720	1235	1913	G	3
28	1010	1720	1135	2270	ST	2
Pulp status	1010	2205	1135	2270	C	3
Mobility	1010	2140	1135	2205	C	3
Restorative	1010	2045	1135	2140	C	3
Distal	1010	1920	1135	2045	G	3
Occlusal	1010	1845	1135	1920	G	3
Mesial	1010	1720	1135	1845	G	3
29	875	1720	1010	2270	ST	2
Pulp status	875	2205	1010	2270	C	3
Mobility	875	2140	1010	2205	C	3
Restorative	875	2045	1010	2140	C	3
Distal	875	1920	1010	2045	G	3
Occlusal	875	1845	1010	1920	G	3
Mesial	875	1720	1010	1845	G	3
30	715	1720	875	2270	ST	2
Pulp status	715	2205	875	2270	C	3
Mobility	715	2140	875	2205	C	3
Restorative	715	2045	875	2140	C	3
Distal	715	1920	875	2045	G	3
Occlusal	715	1845	875	1920	G	3
Mesial	715	1720	875	1845	G	3
31	565	1720	715	2270	ST	2
Pulp status	565	2205	715	2270	C	3
Mobility	565	2140	715	2205	C	3
Restorative	565	2045	715	2140	C	3
Distal	565	1920	715	2045	G	3
Occlusal	565	1845	715	1920	G	3
Mesial	565	1720	715	1845	G	3
32	430	1720	565	2270	ST	2
Pulp status	430	2205	565	2270	C	3
Mobility	430	2140	565	2205	C	3
Restorative	430	2045	565	2140	C	3
Distal	430	1920	565	2045	G	3
Occlusal	430	1845	565	1920	G	3
Mesial	430	1720	565	1845	G	3
Occlusal status	110	2330	2320	2760	S	1
Comfortable	570	2330	1560	2380	SS	2
Yes	1315	2330	1440	2380	SO	3
No	1440	2330	1560	2380	SO	3
Occlusion plane	570	2380	1560	2430	SS	2
Yes	1315	2380	1440	2430	SO	3
No	1440	2380	1560	2430	SO	3
Vertical dimension	570	2430	1560	2475	SS	2
Yes	1315	2430	1440	2475	SO	3
No	1440	2430	1560	2475	SO	3
Occlusal trauma	570	2475	1560	2520	SS	2
Yes	1315	2475	1440	2520	SO	3
No	1440	2475	1560	2520	SO	3
Tooth contacts	570	2520	2320	2670	S	2
Protrusion	1315	2520	2320	2570	SS	3
Anterior	1615	2520	1915	2570	SO	4
Posterior	1915	2520	2220	2570	SO	4
Other	2220	2520	2320	2570	SO	4
Right lateral	1315	2570	2320	2620	SS	3
Canine guidance	1615	2570	1915	2620	SO	4
Group function	1915	2570	2220	2620	SO	4
Other	2220	2570	2320	2620	SO	4
Left lateral	1315	2620	2320	2670	SS	3
Canine guidance	1615	2620	1915	2670	SO	4
Group function	1915	2620	2220	2670	SO	4
Other	2220	2620	2320	2670	SO	4
Treatment position	570	2670	2320	2760	S	2
Centric occlusion	1315	2670	2320	2720	L	3
Centric relation	1915	2670	2320	2720	L	3
Prosthesis	110	2760	2140	2900	S	1
Age	570	2760	1020	2810	L	2
Made at	1020	2760	2140	2810	SS	2
SDM	1465	2760	1765	2810	SO	3
Other	1765	2760	2140	2810	SO	3
Adequacy	570	2810	2200	2900	SS	2
Functional	1020	2810	1320	2860	SO	3
Needs repair	1320	2810	1765	2860	SO	3
Does not wear	1765	2810	2200	2860	SO	3
Follow up	110	2900	2300	3100	S	1
Diagnostic casts	115	2900	1320	2950	SS	2
Required	570	2900	870	2950	SO	3
Not required	870	2900	1320	2950	SO	3
Diagnostic wax-up	1320	2900	2300	2950	SS	2
Required	1770	2900	2070	2950	SO	3
Not required	2070	2900	2300	2950	SO	3
Bite reg.	115	2950	1320	3100	SS	2
Required	570	2950	870	3100	SO	3
Not required	870	2950	1320	3100	SO	3
Record base	1320	2950	2300	3100	SS	2
Required	1770	2950	2070	3100	SO	3
Not required	2070	2950	2300	3100	SO	3
Chart info	120	3100	2380	3160	S	1
Student	320	3100	1240	3160	L	2
Faculty	1240	3100	2090	3160	L	2
Date	2090	3100	2380	3160	L	2
